geneID	Coefficient of Variation	Louvain Cluster	Maximum Data Value	Mean Data Value	Minimum Data Value	Node Component Identifier	Node Degree	Node Multiplicity	Standard Deviation	Strongest Data Column	Variance
Ino80d	0.038714023509443925	Cluster 2	8.19870201188673	7.645772054751917	7.04445637797674	Component 1	4	1	0.29599859907551507	4193_C_rp	0.08761517065466752
Eef1b2	0.05179850288457211	Cluster 6	9.4892231624007	8.301462935311937	7.67292828648741	Component 1	10	1	0.43000335180092386	245_d12_ra	0.18490288256002907
Fzd5	0.22439707383257387	Cluster 2	6.07286719122005	4.285263067991561	2.51453075267431	Component 1	5	1	0.9616004930601044	4209_C_ra	0.9246755082534359
Plekhm3	0.1467509738255546	Cluster 1	5.51713069764296	4.162049588243585	2.43676838725825	Component 1	2	1	0.6107848301849946	293_C_ra	0.37305810878411266
Pikfyve	0.06148309315211103	Cluster 8	6.7473353707074	6.022190830596197	4.97197548388593	Component 1	2	1	0.3702629198173349	002_S_rn_pos	0.13709462979165818
Acadl	0.06303599071109572	Cluster 3	7.05851931200165	6.39218041911679	5.33058921390016	Component 1	4	1	0.4029374255230939	4190_C_ra	0.16235856888717884
Bard1	0.2872750410505236	Cluster 5	5.90794463790211	4.015605320304816	1.39027030156758	Component 1	4	1	1.153583183233267	245_d12_rp	1.330754160638597
Atic	0.12597682403087507	Cluster 6	7.33252308641601	5.701442415425315	3.81589596302857	Component 1	13	1	0.7182496078902022	245_d12_rp	0.5158824992344292
Rpl37a	0.060996145666692425	Cluster 6	7.42178521286891	6.4025019449894005	5.62519929927546	Component 1	3	1	0.39052794126785506	210_d11_rp	0.15251207291090924
Arpc2	0.028526317547589063	Cluster 9	9.17341963662961	8.63807173652201	7.90548902999912	Component 1	1	1	0.24641237735488095	346_C_ra	0.06071905971368425
Pnkd	0.22291088530171738	Cluster 2	5.55238233289588	4.061099174740409	2.05436600626388	Component 1	4	1	0.9052632123394585	4181_C_ra	0.8195014836151556
Tmbim1		Cluster 3	6.27495468699307	4.6709374792374705	-0.467222549032003	Component 1	6	1	1.233171203065651	400_C_ra	1.5207112160703848
Cnot9	0.07795873991935036	Cluster 7	6.09553155195865	5.1403940783504405	4.02961451209953	Component 1	2	1	0.40073864503709067	245_d12_rp	0.16059146162616333
Dnajb2	0.27088080367139894	Cluster 1	6.06048923444181	3.450915228256985	1.35465975839689	Component 1	2	1	0.9347866904321211	007_C_rn_neg	0.8738261566090384
Chpf	0.1108812759084852	Cluster 7	5.47367710119627	4.5926819172044375	3.06991733140677	Component 1	1	1	0.509242430821456	4216_L_rp	0.2593278533489454
Stk11ip	0.09491948305632565	Cluster 1	5.89561225233142	4.814782381339361	3.36909608514329	Component 1	4	1	0.4570166546654368	299_C_rp	0.20886422264158708
Farsb	0.16399416704422895	Cluster 6	5.761582318984	4.39639146670488	2.00474191368337	Component 1	7	1	0.7209825565826228	245_d12_rp	0.5198158468964149
Wdfy1	0.08989901779793716	Cluster 3	5.42349485305748	4.745702131970399	3.51224753026567	Component 1	1	1	0.42663396042571516	299_C_rp	0.18201653618853067
Fam124b		Cluster 2	5.23569904089066	3.538133817321358	-0.00413010345444395	Component 1	4	1	1.082988795648293	008_C_rn_neg	1.1728647314997402
Dock10	0.02666210552841284	Cluster 2	9.84174249807944	9.26687856910778	8.59239308624981	Component 1	1	1	0.247074494328539	297_C_rp	0.06104580574770325
Gm37645		Cluster 2	4.51042947496452	2.624806668608424	-0.345185286110423	Component 1	4	1	1.0948888842304398	341_C_ra	1.1987816688113777
Gm38062	0.28146364320276474	Cluster 2	5.10704596657027	3.2579159946505176	0.735392954886443	Component 1	5	1	0.9169849051028937	297_C_rp	0.8408613161865628
A630081D01Rik	0.23423828989897172	Cluster 2	5.69987853568302	4.167665816336339	1.25508242703979	Component 1	4	1	0.976226913689026	297_C_rp	0.9530189870108011
Agfg1	0.05848194710290327	Cluster 3	8.72241275462515	8.009453181676411	6.80140174125065	Component 1	4	1	0.4684084172939802	298_S_rp	0.21940644539185147
Sp100	0.07137761494510367	Cluster 10	9.17923598890541	8.060325112339381	6.88273128103433	Component 1	17	1	0.5753267822009098	002_S_rn_pos	0.33100090631765317
Itm2c	0.10741917228074171	Cluster 3	7.93658040898955	6.792537560807695	4.91243005696982	Component 1	9	1	0.7296487624678109	347_C_rp	0.5323873165708078
Gm28884		Cluster 3	3.73027339703693	0.7162079605477947	-2.98561598146772	Component 1	4	1	1.641964364305412	4190_C_ra	2.6960469736488757
Gpr55	0.3396870145170706	Cluster 3	9.23975638499267	6.058558244792766	1.73070183672827	Component 1	33	1	2.058013562451438	4205_C_rp	4.23541982323406
Nmur1		Cluster 3	4.98339120939308	0.8567692670188388	-2.98015892943222	Component 1	4	1	1.8120349344101572	007_C_rn_neg	3.2834706035228227
Ptma	0.04927286530187652	Cluster 7	9.94402858840126	8.890984143278626	7.77082787229793	Component 1	4	1	0.43808426409288775	298_L_rp	0.19191782244580705
Eif4e2	0.05215905780086588	Cluster 3	7.47487775806433	6.7325521724920385	5.87493644420785	Component 1	6	1	0.3511635779123574	298_C_rp	0.12331585845220831
Gigyf2	0.043745671785349945	Cluster 8	7.58412518046986	6.901533618162499	6.25249817067469	Component 1	1	1	0.3019122244756953	004_L_rn_pos	0.09115099128786264
Inpp5d	0.05571443824085207	Cluster 3	9.41240618970999	8.274485040552234	7.27808460768231	Component 1	9	1	0.4610082857667018	298_C_rp	0.21252863954555298
Dgkd	0.06104072958187781	Cluster 7	8.81369712908273	7.453542381223916	6.57813427834664	Component 1	3	1	0.4549696649193547	210_d11_rp	0.2069973959968299
Hjurp	0.0638629261109457	Cluster 5	8.49801015045897	7.241882761824023	6.11601678727676	Component 1	5	1	0.46248782372249897	210_d11_ra	0.21389498709157329
Arl4c	0.09751779616517502	Cluster 6	9.31658771154728	7.3226772607232755	5.81716550417151	Component 1	4	1	0.7140913484945746	208_d11_rp	0.5099264539948
Lrrfip1	0.04414239343456294	Cluster 3	9.80389924128537	8.93659000335532	7.65829256810631	Component 1	8	1	0.3944824718914927	347_L_rp	0.15561642062962236
Scly	0.09220825718484792	Cluster 7	5.76803158233054	5.045562237838232	3.62082131411812	Component 1	3	1	0.4652425004687445	294_S_ra	0.21645058424240973
Ndufa10	0.04732105204299792	Cluster 9	6.86042740275308	6.168685030516118	5.44876167469514	Component 1	1	1	0.2919086653659154	245_d12_rp	0.08521066891570998
Pask		Cluster 5	4.43622457077267	2.058458250414129	-2.00331319278947	Component 1	5	1	1.5259638183055377	245_d12_rp	2.3285655747776164
Hdlbp	0.051917034310609296	Cluster 3	8.59019564624347	7.809880347192952	6.64834018494736	Component 1	4	1	0.4054658259469697	4216_C_rp	0.16440253601085836
37500	0.0422285207950959	Cluster 3	7.38771819254697	6.870110155466398	6.13536347180322	Component 1	2	1	0.2901145895647123	4192_C_rp	0.08416647507830147
Dtymk	0.1804578981135919	Cluster 5	5.28893189035531	3.998187186268826	1.96509682136538	Component 1	1	1	0.7215044558987684	245_d12_rp	0.5205686798817779
Pdcd1	0.3186900852765846	Cluster 3	9.24588846168287	6.378214397934074	1.41819088107461	Component 1	20	1	2.0326736903899496	4181_C_ra	4.131762331603497
Gm38235		Cluster 2	6.12349221203725	3.153320084742364	-0.89842261712026	Component 1	4	1	1.5657984678243693	4181_C_ra	2.451724841841142
Bcl2	0.1434986058492635	Cluster 6	9.77637637910235	7.429872446170855	5.05355502457947	Component 1	5	1	1.0661763376633748	199_d12_ra	1.1367319829932867
Tsn	0.058869753873566674	Cluster 6	6.83565869992444	5.8711455965246815	5.02983083647911	Component 1	5	1	0.3456328962232828	210_d11_ra	0.11946209895169457
Nifk	0.1259576032089383	Cluster 6	5.69969869266452	4.380846823512563	3.07606657089136	Component 1	1	1	0.5518009659151332	245_d12_rp	0.3044843059848739
